city|state|state_name|county
New York|NY|New York|Queens
Los Angeles|CA|California|Los Angeles
Chicago|IL|Illinois|Cook
Miami|FL|Florida|Miami-Dade
Houston|TX|Texas|Harris
Dallas|TX|Texas|Dallas
Philadelphia|PA|Pennsylvania|Philadelphia
Atlanta|GA|Georgia|Fulton
Washington|DC|District of Columbia|District of Columbia
Boston|MA|Massachusetts|Suffolk
Phoenix|AZ|Arizona|Maricopa
Detroit|MI|Michigan|Wayne
Seattle|WA|Washington|King
San Francisco|CA|California|San Francisco
San Diego|CA|California|San Diego
Minneapolis|MN|Minnesota|Hennepin
Tampa|FL|Florida|Hillsborough
Brooklyn|NY|New York|Kings
Denver|CO|Colorado|Denver
Queens|NY|New York|Queens
Riverside|CA|California|Riverside
Las Vegas|NV|Nevada|Clark
Baltimore|MD|Maryland|Baltimore
St. Louis|MO|Missouri|St. Louis
Portland|OR|Oregon|Multnomah
San Antonio|TX|Texas|Bexar
Sacramento|CA|California|Sacramento
Austin|TX|Texas|Travis
Orlando|FL|Florida|Orange
San Juan|PR|Puerto Rico|San Juan
San Jose|CA|California|Santa Clara
Indianapolis|IN|Indiana|Marion
Pittsburgh|PA|Pennsylvania|Allegheny
Cincinnati|OH|Ohio|Hamilton
Manhattan|NY|New York|New York
Kansas City|MO|Missouri|Jackson
Cleveland|OH|Ohio|Cuyahoga
Columbus|OH|Ohio|Franklin
Bronx|NY|New York|Bronx
Charlotte|NC|North Carolina|Mecklenburg
Virginia Beach|VA|Virginia|Virginia Beach
Jacksonville|FL|Florida|Duval
Milwaukee|WI|Wisconsin|Milwaukee
Providence|RI|Rhode Island|Providence
Nashville|TN|Tennessee|Davidson
Salt Lake City|UT|Utah|Salt Lake
Raleigh|NC|North Carolina|Wake
Richmond|VA|Virginia|Richmond
Memphis|TN|Tennessee|Shelby
Oklahoma City|OK|Oklahoma|Oklahoma
Hartford|CT|Connecticut|Capitol
Louisville|KY|Kentucky|Jefferson
Buffalo|NY|New York|Erie
Fort Worth|TX|Texas|Tarrant
Bridgeport|CT|Connecticut|Greater Bridgeport
New Orleans|LA|Louisiana|Orleans
Tucson|AZ|Arizona|Pima
El Paso|TX|Texas|El Paso
Omaha|NE|Nebraska|Douglas
McAllen|TX|Texas|Hidalgo
Birmingham|AL|Alabama|Jefferson
Albuquerque|NM|New Mexico|Bernalillo
Tulsa|OK|Oklahoma|Tulsa
Charleston|SC|South Carolina|Charleston
Fresno|CA|California|Fresno
Rochester|NY|New York|Monroe
Dayton|OH|Ohio|Montgomery
Cape Coral|FL|Florida|Lee
Provo|UT|Utah|Utah
Colorado Springs|CO|Colorado|El Paso
Mission Viejo|CA|California|Orange
Allentown|PA|Pennsylvania|Lehigh
Baton Rouge|LA|Louisiana|East Baton Rouge
Ogden|UT|Utah|Weber
Knoxville|TN|Tennessee|Knox
Grand Rapids|MI|Michigan|Kent
Columbia|SC|South Carolina|Richland
Albany|NY|New York|Albany
Bakersfield|CA|California|Kern
New Haven|CT|Connecticut|South Central Connecticut
Des Moines|IA|Iowa|Polk
Palm Bay|FL|Florida|Brevard
Akron|OH|Ohio|Summit
Concord|CA|California|Contra Costa
Mesa|AZ|Arizona|Maricopa
Wichita|KS|Kansas|Sedgwick
Harrisburg|PA|Pennsylvania|Dauphin
Staten Island|NY|New York|Richmond
Toledo|OH|Ohio|Lucas
Worcester|MA|Massachusetts|Worcester
Port St. Lucie|FL|Florida|St. Lucie
Little Rock|AR|Arkansas|Pulaski
Madison|WI|Wisconsin|Dane
Spokane|WA|Washington|Spokane
Long Beach|CA|California|Los Angeles
Denton|TX|Texas|Denton
Reno|NV|Nevada|Washoe
Boise|ID|Idaho|Ada
Bonita Springs|FL|Florida|Lee
Kissimmee|FL|Florida|Osceola
Augusta|GA|Georgia|Richmond
Springfield|MA|Massachusetts|Hampden
Oakland|CA|California|Alameda
Winston-Salem|NC|North Carolina|Forsyth
Stockton|CA|California|San Joaquin
Durham|NC|North Carolina|Durham
Chattanooga|TN|Tennessee|Hamilton
Greenville|SC|South Carolina|Greenville
Lancaster|PA|Pennsylvania|Lancaster
Syracuse|NY|New York|Onondaga
Fayetteville|AR|Arkansas|Washington
Pensacola|FL|Florida|Escambia
Arlington|TX|Texas|Tarrant
Aurora|CO|Colorado|Arapahoe
Scranton|PA|Pennsylvania|Lackawanna
Oxnard|CA|California|Ventura
Indio|CA|California|Riverside
Victorville|CA|California|San Bernardino
Trenton|NJ|New Jersey|Mercer
Huntsville|AL|Alabama|Madison
Modesto|CA|California|Stanislaus
Honolulu|HI|Hawaii|Honolulu
Greensboro|NC|North Carolina|Guilford
Fort Wayne|IN|Indiana|Allen
Anaheim|CA|California|Orange
Corpus Christi|TX|Texas|Nueces
Fort Collins|CO|Colorado|Larimer
Antioch|CA|California|Contra Costa
Jackson|MS|Mississippi|Hinds
Fayetteville|NC|North Carolina|Cumberland
Myrtle Beach|SC|South Carolina|Horry
Henderson|NV|Nevada|Clark
Mobile|AL|Alabama|Mobile
Lexington|KY|Kentucky|Fayette
Lansing|MI|Michigan|Ingham
Savannah|GA|Georgia|Chatham
Youngstown|OH|Ohio|Mahoning
Ann Arbor|MI|Michigan|Washtenaw
Santa Ana|CA|California|Orange
Irvine|CA|California|Orange
St. Paul|MN|Minnesota|Ramsey
Poughkeepsie|NY|New York|Dutchess
Newark|NJ|New Jersey|Essex
Santa Rosa|CA|California|Sonoma
Concord|NC|North Carolina|Cabarrus
Winter Haven|FL|Florida|Polk
Asheville|NC|North Carolina|Buncombe
Canton|OH|Ohio|Stark
Lincoln|NE|Nebraska|Lancaster
Flint|MI|Michigan|Genesee
Lakeland|FL|Florida|Polk
Jersey City|NJ|New Jersey|Hudson
Anchorage|AK|Alaska|Anchorage
Springfield|MO|Missouri|Greene
Plano|TX|Texas|Collin
Lubbock|TX|Texas|Lubbock
Davenport|IA|Iowa|Scott
Reading|PA|Pennsylvania|Berks
Shreveport|LA|Louisiana|Caddo
Chandler|AZ|Arizona|Maricopa
South Bend|IN|Indiana|St. Joseph
Wilmington|NC|North Carolina|New Hanover
Chula Vista|CA|California|San Diego
Rockford|IL|Illinois|Winnebago
Eugene|OR|Oregon|Lane
Salem|OR|Oregon|Marion
Gilbert|AZ|Arizona|Maricopa
North Las Vegas|NV|Nevada|Clark
Santa Clarita|CA|California|Los Angeles
Peoria|IL|Illinois|Peoria
Tallahassee|FL|Florida|Leon
Killeen|TX|Texas|Bell
St. Petersburg|FL|Florida|Pinellas
Kennewick|WA|Washington|Benton
Columbus|GA|Georgia|Muscogee
Laredo|TX|Texas|Webb
Irving|TX|Texas|Dallas
Round Lake Beach|IL|Illinois|Lake
Montgomery|AL|Alabama|Montgomery
Chesapeake|VA|Virginia|Chesapeake
Glendale|AZ|Arizona|Maricopa
Nashua|NH|New Hampshire|Hillsborough
York|PA|Pennsylvania|York
Garland|TX|Texas|Dallas
Rock Hill|SC|South Carolina|York
Scottsdale|AZ|Arizona|Maricopa
Aguadilla|PR|Puerto Rico|Aguadilla
Arlington|VA|Virginia|Arlington
Norfolk|VA|Virginia|Norfolk
Appleton|WI|Wisconsin|Outagamie
Enterprise|NV|Nevada|Clark
Gulfport|MS|Mississippi|Harrison
Lafayette|LA|Louisiana|Lafayette
Bremerton|WA|Washington|Kitsap
Fremont|CA|California|Alameda
Green Bay|WI|Wisconsin|Brown
Fargo|ND|North Dakota|Cass
Deltona|FL|Florida|Volusia
Brownsville|TX|Texas|Cameron
Hialeah|FL|Florida|Miami-Dade
San Bernardino|CA|California|San Bernardino
Tacoma|WA|Washington|Pierce
Gainesville|FL|Florida|Alachua
Spring Valley|NV|Nevada|Clark
Clarksville|TN|Tennessee|Montgomery
College Station|TX|Texas|Brazos
Olympia|WA|Washington|Thurston
Roanoke|VA|Virginia|Roanoke
Portland|ME|Maine|Cumberland
Fontana|CA|California|San Bernardino
Spartanburg|SC|South Carolina|Spartanburg
Moreno Valley|CA|California|Riverside
Frisco|TX|Texas|Collin
Yonkers|NY|New York|Westchester
Thousand Oaks|CA|California|Ventura
Sioux Falls|SD|South Dakota|Minnehaha
Hagerstown|MD|Maryland|Washington
Evansville|IN|Indiana|Vanderburgh
Amarillo|TX|Texas|Potter
Kalamazoo|MI|Michigan|Kalamazoo
Lorain|OH|Ohio|Lorain
Galveston|TX|Texas|Galveston
McKinney|TX|Texas|Collin
Huntington|WV|West Virginia|Cabell
Nampa|ID|Idaho|Canyon
Hickory|NC|North Carolina|Catawba
Waterbury|CT|Connecticut|Naugatuck Valley
Sunrise Manor|NV|Nevada|Clark
Grand Prairie|TX|Texas|Dallas
Ocala|FL|Florida|Marion
Waco|TX|Texas|McLennan
Overland Park|KS|Kansas|Johnson
Frederick|MD|Maryland|Frederick
Huntington Beach|CA|California|Orange
Santa Barbara|CA|California|Santa Barbara
Peoria|AZ|Arizona|Maricopa
Cedar Rapids|IA|Iowa|Linn
Vancouver|WA|Washington|Clark
Glendale|CA|California|Los Angeles
Gastonia|NC|North Carolina|Gaston
Spring Hill|FL|Florida|Hernando
Murfreesboro|TN|Tennessee|Rutherford
Tempe|AZ|Arizona|Maricopa
Paradise|NV|Nevada|Clark
Newport News|VA|Virginia|Newport News
Erie|PA|Pennsylvania|Erie
Fort Lauderdale|FL|Florida|Broward
Gainesville|GA|Georgia|Hall
Aurora|IL|Illinois|Kane
Mauldin|SC|South Carolina|Greenville
Ontario|CA|California|San Bernardino
Elk Grove|CA|California|Sacramento
Panama City|FL|Florida|Bay
Cary|NC|North Carolina|Wake
Hemet|CA|California|Riverside
Danbury|CT|Connecticut|Western Connecticut
Rancho Cucamonga|CA|California|San Bernardino
Salinas|CA|California|Monterey
Oceanside|CA|California|San Diego
Vallejo|CA|California|Solano
High Point|NC|North Carolina|Guilford
Garden Grove|CA|California|Orange
Pembroke Pines|FL|Florida|Broward
Lancaster|CA|California|Los Angeles
Marysville|WA|Washington|Snohomish
Bayamon|PR|Puerto Rico|Bayamón
Fredericksburg|VA|Virginia|Fredericksburg
Visalia|CA|California|Tulare
Tuscaloosa|AL|Alabama|Tuscaloosa
Palmdale|CA|California|Los Angeles
Santa Cruz|CA|California|Santa Cruz
Medford|OR|Oregon|Jackson
Norwich|CT|Connecticut|Southeastern Connecticut
Merced|CA|California|Merced
Manchester|NH|New Hampshire|Hillsborough
Odessa|TX|Texas|Ector
Muskegon|MI|Michigan|Muskegon
Leesburg|FL|Florida|Lake
Lafayette|IN|Indiana|Tippecanoe
Hayward|CA|California|Alameda
Corona|CA|California|Riverside
Paterson|NJ|New Jersey|Passaic
Alexandria|VA|Virginia|Alexandria
Macon|GA|Georgia|Bibb
Lakewood|CO|Colorado|Jefferson
Springfield|IL|Illinois|Sangamon
Kansas City|KS|Kansas|Wyandotte
Burlington|NC|North Carolina|Alamance
Warner Robins|GA|Georgia|Houston
Sunnyvale|CA|California|Santa Clara
Hollywood|FL|Florida|Broward
Roseville|CA|California|Placer
New Bedford|MA|Massachusetts|Bristol
South Lyon|MI|Michigan|Oakland
Bellevue|WA|Washington|King
Fairfield|CA|California|Solano
Binghamton|NY|New York|Broome
Topeka|KS|Kansas|Shawnee
Escondido|CA|California|San Diego
Joliet|IL|Illinois|Will
Surprise|AZ|Arizona|Maricopa
Naperville|IL|Illinois|DuPage
Pasadena|TX|Texas|Harris
Mesquite|TX|Texas|Dallas
Champaign|IL|Illinois|Champaign
Pomona|CA|California|Los Angeles
Houma|LA|Louisiana|Terrebonne
Athens|GA|Georgia|Clarke
St. George|UT|Utah|Washington
Beaumont|TX|Texas|Jefferson
Elkhart|IN|Indiana|Elkhart
Lake Charles|LA|Louisiana|Calcasieu
Santa Maria|CA|California|Santa Barbara
Yuma|AZ|Arizona|Yuma
Olathe|KS|Kansas|Johnson
Midland|TX|Texas|Midland
Greeley|CO|Colorado|Weld
Torrance|CA|California|Los Angeles
Thornton|CO|Colorado|Adams
Las Cruces|NM|New Mexico|Doña Ana
Columbia|MO|Missouri|Boone
Fullerton|CA|California|Orange
Grand Junction|CO|Colorado|Mesa
Carolina|PR|Puerto Rico|Carolina
Metairie|LA|Louisiana|Jefferson
Orange|CA|California|Orange
Warren|MI|Michigan|Macomb
West Valley City|UT|Utah|Salt Lake
Hampton|VA|Virginia|Hampton
Pasadena|CA|California|Los Angeles
Miramar|FL|Florida|Broward
Elizabeth|NJ|New Jersey|Union
Stamford|CT|Connecticut|Western Connecticut
Racine|WI|Wisconsin|Racine
Kent|WA|Washington|King
Yakima|WA|Washington|Yakima
Coral Springs|FL|Florida|Broward
Sterling Heights|MI|Michigan|Macomb
Billings|MT|Montana|Yellowstone
Bloomington|IL|Illinois|McLean
Charleston|WV|West Virginia|Kanawha
Carrollton|TX|Texas|Dallas
Tyler|TX|Texas|Smith
Iowa City|IA|Iowa|Johnson
Johnson City|TN|Tennessee|Washington
Santa Clara|CA|California|Santa Clara
Bellingham|WA|Washington|Whatcom
Norman|OK|Oklahoma|Cleveland
Coeur d'Alene|ID|Idaho|Kootenai
Fort Smith|AR|Arkansas|Sebastian
Lewisville|TX|Texas|Denton
Dover|DE|Delaware|Kent
Yuba City|CA|California|Sutter
Lehigh Acres|FL|Florida|Lee
Abilene|TX|Texas|Taylor
Simi Valley|CA|California|Ventura
Pearland|TX|Texas|Brazoria
Kenosha|WI|Wisconsin|Kenosha
Arecibo|PR|Puerto Rico|Arecibo
Meridian|ID|Idaho|Ada
Round Rock|TX|Texas|Williamson
Waldorf|MD|Maryland|Charles
Temple|TX|Texas|Bell
Lynchburg|VA|Virginia|Lynchburg
Rochester|MN|Minnesota|Olmsted
Logan|UT|Utah|Cache
Arvada|CO|Colorado|Jefferson
Clovis|CA|California|Fresno
Independence|MO|Missouri|Jackson
Redding|CA|California|Shasta
Greenville|NC|North Carolina|Pitt
Duluth|MN|Minnesota|St. Louis
Berkeley|CA|California|Alameda
Boulder|CO|Colorado|Boulder
Pueblo|CO|Colorado|Pueblo
West Palm Beach|FL|Florida|Palm Beach
Burlington|VT|Vermont|Chittenden
Seaside|CA|California|Monterey
Richardson|TX|Texas|Dallas
Cambridge|MA|Massachusetts|Middlesex
Monroe|LA|Louisiana|Ouachita
North Charleston|SC|South Carolina|Charleston
Saginaw|MI|Michigan|Saginaw
Clearwater|FL|Florida|Pinellas
The Woodlands|TX|Texas|Montgomery
Brandon|FL|Florida|Hillsborough
St. Cloud|MN|Minnesota|Stearns
West Jordan|UT|Utah|Salt Lake
Broken Arrow|OK|Oklahoma|Tulsa
Harlingen|TX|Texas|Cameron
Kailua|HI|Hawaii|Honolulu
Westminster|CO|Colorado|Adams
Gilroy|CA|California|Santa Clara
Richmond|CA|California|Contra Costa
Mandeville|LA|Louisiana|St. Tammany
Utica|NY|New York|Oneida
Ponce|PR|Puerto Rico|Ponce
League City|TX|Texas|Galveston
Port Arthur|TX|Texas|Jefferson
Lowell|MA|Massachusetts|Middlesex
East Los Angeles|CA|California|Los Angeles
Carlsbad|CA|California|San Diego
Elgin|IL|Illinois|Kane
Waterloo|IA|Iowa|Black Hawk
Leominster|MA|Massachusetts|Worcester
Bend|OR|Oregon|Deschutes
Sioux City|IA|Iowa|Woodbury
Gresham|OR|Oregon|Multnomah
Longview|TX|Texas|Gregg
Pompano Beach|FL|Florida|Broward
Downey|CA|California|Los Angeles
Murrieta|CA|California|Riverside
Idaho Falls|ID|Idaho|Bonneville
Miami Gardens|FL|Florida|Miami-Dade
Everett|WA|Washington|Snohomish
Holland|MI|Michigan|Ottawa
Costa Mesa|CA|California|Orange
Temecula|CA|California|Riverside
Jacksonville|NC|North Carolina|Onslow
San Buenaventura|CA|California|Ventura
Sugar Land|TX|Texas|Fort Bend
Chico|CA|California|Butte
South Fulton|GA|Georgia|Fulton
Sparks|NV|Nevada|Washoe
Eau Claire|WI|Wisconsin|Eau Claire
Auburn|AL|Alabama|Lee
Dearborn|MI|Michigan|Wayne
Riverview|FL|Florida|Hillsborough
Allen|TX|Texas|Collin
West Covina|CA|California|Los Angeles
Centennial|CO|Colorado|Arapahoe
Bloomington|IN|Indiana|Monroe
Sandy Springs|GA|Georgia|Fulton
El Monte|CA|California|Los Angeles
Hillsboro|OR|Oregon|Washington
Menifee|CA|California|Riverside
Rio Rancho|NM|New Mexico|Sandoval
Davie|FL|Florida|Broward
Jurupa Valley|CA|California|Riverside
Columbia|MD|Maryland|Howard
Inglewood|CA|California|Los Angeles
Spokane Valley|WA|Washington|Spokane
Renton|WA|Washington|King
San Tan Valley|AZ|Arizona|Pinal
Burbank|CA|California|Los Angeles
Brockton|MA|Massachusetts|Plymouth
El Cajon|CA|California|San Diego
Rialto|CA|California|San Bernardino
San Mateo|CA|California|San Mateo
Goodyear|AZ|Arizona|Maricopa
Charlottesville|VA|Virginia|Charlottesville
Lafayette|CO|Colorado|Boulder
Lee's Summit|MO|Missouri|Jackson
Edinburg|TX|Texas|Hidalgo
Daly City|CA|California|San Mateo
Wichita Falls|TX|Texas|Wichita
Bowling Green|KY|Kentucky|Warren
Longmont|CO|Colorado|Boulder
Vacaville|CA|California|Solano
Highlands Ranch|CO|Colorado|Douglas
Quincy|MA|Massachusetts|Norfolk
Fishers|IN|Indiana|Hamilton
Lynn|MA|Massachusetts|Essex
Norwalk|CA|California|Los Angeles
Carmel|IN|Indiana|Hamilton
Hesperia|CA|California|San Bernardino
St. Augustine|FL|Florida|St. Johns
Buckeye|AZ|Arizona|Maricopa
San Angelo|TX|Texas|Tom Green
Federal Way|WA|Washington|King
Bismarck|ND|North Dakota|Burleigh
Boca Raton|FL|Florida|Palm Beach
New Braunfels|TX|Texas|Comal
Vista|CA|California|San Diego
Beaverton|OR|Oregon|Washington
Portsmouth|VA|Virginia|Portsmouth
Orem|UT|Utah|Utah
Conroe|TX|Texas|Montgomery
Suffolk|VA|Virginia|Suffolk
Sunrise|FL|Florida|Broward
Lawrence|KS|Kansas|Douglas
Arden-Arcade|CA|California|Sacramento
Prescott Valley|AZ|Arizona|Yavapai
Middletown|OH|Ohio|Butler
San German|PR|Puerto Rico|San Germán
Edmond|OK|Oklahoma|Oklahoma
Tracy|CA|California|San Joaquin
Manteca|CA|California|San Joaquin
Kingsport|TN|Tennessee|Sullivan
Portsmouth|NH|New Hampshire|Rockingham
Sandy|UT|Utah|Salt Lake
Palm Coast|FL|Florida|Flagler
Slidell|LA|Louisiana|St. Tammany
San Marcos|CA|California|San Diego
Livonia|MI|Michigan|Wayne
Santa Fe|NM|New Mexico|Santa Fe
Plantation|FL|Florida|Broward
Atascocita|TX|Texas|Harris
Fall River|MA|Massachusetts|Bristol
Compton|CA|California|Los Angeles
Carson|CA|California|Los Angeles
La Crosse|WI|Wisconsin|La Crosse
Missoula|MT|Montana|Missoula
O'Fallon|MO|Missouri|St. Charles
Mount Pleasant|SC|South Carolina|Charleston
Roswell|GA|Georgia|Fulton
Hoover|AL|Alabama|Jefferson
Florence|SC|South Carolina|Florence
Williamsburg|VA|Virginia|Williamsburg
South Gate|CA|California|Los Angeles
Chino|CA|California|San Bernardino
Fort Myers|FL|Florida|Lee
Kirkland|WA|Washington|King
Santa Monica|CA|California|Los Angeles
Vineland|NJ|New Jersey|Cumberland
Norwalk|CT|Connecticut|Western Connecticut
Alafaya|FL|Florida|Orange
Lawton|OK|Oklahoma|Comanche
Avondale|AZ|Arizona|Maricopa
Germantown|MD|Maryland|Montgomery
Rapid City|SD|South Dakota|Pennington
Westminster|CA|California|Orange
Clifton|NJ|New Jersey|Passaic
Waukegan|IL|Illinois|Lake
Bloomington|MN|Minnesota|Hennepin
Mayaguez|PR|Puerto Rico|Mayagüez
San Leandro|CA|California|Alameda
Newton|MA|Massachusetts|Middlesex
Joplin|MO|Missouri|Jasper
Lawrence|MA|Massachusetts|Essex
Springdale|AR|Arkansas|Washington
Troy|MI|Michigan|Oakland
Citrus Heights|CA|California|Sacramento
Deerfield Beach|FL|Florida|Broward
Town 'n' Country|FL|Florida|Hillsborough
Winchester|VA|Virginia|Winchester
Mission|TX|Texas|Hidalgo
Bryan|TX|Texas|Brazos
Hawthorne|CA|California|Los Angeles
Whittier|CA|California|Los Angeles
Livermore|CA|California|Alameda
Lake Forest|CA|California|Orange
San Ramon|CA|California|Contra Costa
Melbourne|FL|Florida|Brevard
Franklin|TN|Tennessee|Williamson
Auburn|WA|Washington|King
Port Huron|MI|Michigan|St. Clair
Decatur|IL|Illinois|Macon
Baytown|TX|Texas|Harris
Brooklyn Park|MN|Minnesota|Hennepin
Springfield|OH|Ohio|Clark
Newport Beach|CA|California|Orange
Westland|MI|Michigan|Wayne
Newark|OH|Ohio|Licking
Muncie|IN|Indiana|Delaware
Farmington Hills|MI|Michigan|Oakland
Cicero|IL|Illinois|Cook
Buena Park|CA|California|Orange
Warwick|RI|Rhode Island|Kent
Hattiesburg|MS|Mississippi|Forrest
Cranston|RI|Rhode Island|Providence
Albany|GA|Georgia|Dougherty
Layton|UT|Utah|Davis
Madera|CA|California|Madera
Largo|FL|Florida|Pinellas
Redwood City|CA|California|San Mateo
Mountain View|CA|California|Santa Clara
Pine Hills|FL|Florida|Orange
Folsom|CA|California|Sacramento
Silver Spring|MD|Maryland|Montgomery
Johns Creek|GA|Georgia|Fulton
The Villages|FL|Florida|Sumter
Owensboro|KY|Kentucky|Daviess
Napa|CA|California|Napa
New Rochelle|NY|New York|Westchester
Alhambra|CA|California|Los Angeles
Cheyenne|WY|Wyoming|Laramie
Miami Beach|FL|Florida|Miami-Dade
Wenatchee|WA|Washington|Chelan
Jackson|MI|Michigan|Jackson
Lehi|UT|Utah|Utah
Anderson|IN|Indiana|Madison
Homestead|FL|Florida|Miami-Dade
Florence|AL|Alabama|Lauderdale
Rancho Cordova|CA|California|Sacramento
Morgantown|WV|West Virginia|Monongalia
Boynton Beach|FL|Florida|Palm Beach
Somerville|MA|Massachusetts|Middlesex
North Port|FL|Florida|Sarasota
Lakewood|CA|California|Los Angeles
Salisbury|MD|Maryland|Wicomico
South Jordan|UT|Utah|Salt Lake
